epoch,out_0,out_1,step,train_loss
0,0.26581019163131714,0.11157537251710892,1,0.7892983555793762
1,0.1418572962284088,0.262908935546875,3,0.5433032512664795
2,0.3107723593711853,0.47195425629615784,5,0.278832346200943
3,0.48456844687461853,0.5970839858055115,7,0.16234131157398224
4,0.5741490125656128,0.6494035720825195,9,0.12291785329580307
5,0.5996648073196411,0.6624879240989685,11,0.11391440033912659
6,0.5790858268737793,0.6509040594100952,13,0.12186797708272934
7,0.504895806312561,0.6166161298751831,15,0.14698319137096405
8,0.34442827105522156,0.5518455505371094,17,0.20084241032600403
9,0.11551475524902344,0.49037253856658936,19,0.2597201466560364
10,-0.02721884287893772,0.5763519406318665,21,0.17947767674922943
11,-0.022177550941705704,0.7153700590133667,23,0.08101420104503632
12,0.09207740426063538,0.796393096446991,25,0.041455771774053574
13,0.1283036768436432,0.8425254225730896,27,0.02479824237525463
14,-0.09154145419597626,0.8747866153717041,29,0.015678390860557556
15,-0.09762552380561829,0.8993333578109741,31,0.0101337730884552
16,0.20941022038459778,0.9151065945625305,33,0.007206890266388655
17,-0.25796958804130554,0.9256587028503418,35,0.005526628345251083
18,-0.07382500171661377,0.9341435432434082,37,0.004337072838097811
19,0.36056697368621826,0.9391579031944275,39,0.0037017606664448977
20,-0.25079914927482605,0.9412422180175781,41,0.0034524770453572273
21,-0.27011018991470337,0.9429928660392761,43,0.003249813336879015
22,0.005562640726566315,0.9444988965988159,45,0.003080372465774417
23,0.2375529408454895,0.9449653029441833,47,0.003028817940503359
24,0.03965095803141594,0.9442362189292908,49,0.003109599230811
25,-0.1229286789894104,0.9433454275131226,51,0.003209740621969104
26,-0.13508641719818115,0.943047285079956,53,0.0032436116598546505
27,-0.05703128129243851,0.9433753490447998,55,0.0032063510734587908
28,0.04543934762477875,0.9438072443008423,57,0.0031576259061694145
29,0.09453325718641281,0.9438028335571289,59,0.0031581216026097536
30,0.06659036129713058,0.9432540535926819,61,0.0032201025169342756
31,0.005222606007009745,0.9425390958786011,63,0.0033017555251717567
32,-0.042040709406137466,0.9421982765197754,65,0.003341039177030325
33,-0.05669773370027542,0.9425472617149353,67,0.0033008172176778316
34,-0.04114197567105293,0.9435291886329651,69,0.0031889525707811117
35,-0.008389133028686047,0.9448180794715881,71,0.0030450443737208843
36,0.02329644374549389,0.9460557103157043,73,0.002909986302256584
37,0.037905555218458176,0.9470359683036804,75,0.00280518876388669
38,0.030561106279492378,0.9477682113647461,77,0.002728159772232175
39,0.009378602728247643,0.9484244585037231,79,0.00266003655269742
40,-0.011908847838640213,0.9492142200469971,81,0.00257919542491436
41,-0.022773297503590584,0.9502525329589844,83,0.0024748104624450207
42,-0.01989518292248249,0.9515045285224915,85,0.0023518106900155544
43,-0.006934796459972858,0.9528341293334961,87,0.0022246192675083876
44,0.007961521856486797,0.9540830850601196,89,0.0021083629690110683
45,0.016383249312639236,0.9551625847816467,91,0.002010393887758255
46,0.014446926303207874,0.9560761451721191,93,0.0019293050281703472
47,0.00490154791623354,0.9569008350372314,95,0.0018575380090624094
48,-0.0054176682606339455,0.9577285051345825,97,0.001786879263818264
49,-0.010402009822428226,0.9586089253425598,99,0.0017132210778072476
50,-0.00802722666412592,0.9595273733139038,101,0.0016380335437133908
51,-0.0008498048991896212,0.9604265689849854,103,0.0015660563949495554
