epoch,out_0,out_1,step,train_loss
0,0.11653785407543182,0.0793437659740448,1,0.8476078510284424
1,0.10153927654027939,0.11783803254365921,3,0.7782097458839417
2,0.14626747369766235,0.17004571855068207,5,0.6888240575790405
3,0.20507530868053436,0.23386144638061523,7,0.5869683027267456
4,0.2744971811771393,0.3054315149784088,9,0.48242542147636414
5,0.3488614857196808,0.3784135580062866,11,0.3863697052001953
6,0.42049944400787354,0.4454182982444763,13,0.30756086111068726
7,0.48216673731803894,0.500442624092102,15,0.24955756962299347
8,0.529525637626648,0.5406391024589539,17,0.21101243793964386
9,0.5616913437843323,0.5661845803260803,19,0.1881958246231079
10,0.5800908803939819,0.5789920091629028,21,0.17724773287773132
11,0.5871047973632812,0.5815642476081848,23,0.17508848011493683
12,0.5852746963500977,0.5764232277870178,25,0.17941728234291077
13,0.5770123600959778,0.5659177303314209,27,0.1884274184703827
14,0.5645207762718201,0.5521668791770935,29,0.2005545049905777
15,0.5497592687606812,0.5370116829872131,31,0.21435818076133728
16,0.5343964099884033,0.5219636559486389,33,0.22851873934268951
17,0.5197573304176331,0.5081642270088196,35,0.2419024258852005
18,0.5067979097366333,0.496381551027298,37,0.2536315619945526
19,0.49611470103263855,0.4870433807373047,39,0.2631244957447052
20,0.48799094557762146,0.48029395937919617,41,0.2700943350791931
21,0.4824574887752533,0.4760609269142151,43,0.2745121419429779
22,0.47935786843299866,0.4741169512271881,45,0.2765530049800873
23,0.4784068465232849,0.4741328954696655,47,0.276536226272583
24,0.479239284992218,0.4757216274738312,49,0.27486783266067505
25,0.4814487099647522,0.4784720242023468,51,0.27199146151542664
26,0.4846203923225403,0.4819779098033905,53,0.2683468461036682
27,0.4883565306663513,0.4858609139919281,55,0.26433897018432617
28,0.49229755997657776,0.48978883028030396,57,0.2603154480457306
29,0.49613767862319946,0.49348822236061096,59,0.2565542161464691
30,0.49963533878326416,0.4967523217201233,61,0.25325822830200195
31,0.5026174783706665,0.4994424879550934,63,0.2505578398704529
32,0.504978597164154,0.501485288143158,65,0.24851691722869873
33,0.5066760182380676,0.5028663873672485,67,0.24714182317256927
34,0.5077204704284668,0.5036187171936035,69,0.24639438092708588
35,0.5081656575202942,0.5038125514984131,71,0.24620197713375092
36,0.5080956220626831,0.5035425424575806,73,0.24647000432014465
37,0.5076138377189636,0.5029172301292419,75,0.24709127843379974
38,0.5068311095237732,0.5020481944084167,77,0.24795600771903992
39,0.5058581233024597,0.5010419487953186,79,0.24895913898944855
40,0.5047962069511414,0.4999934732913971,81,0.2500065565109253
